DATA_MC|KOD_WOJ|NAME|PLEC|WIEK|KOD_UPRAWNIENIA|LICZBA
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|21|B1|41
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|21|A|3
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|21|A2|6
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|21|B+E|9
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|21|C+E|6
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|21|T|9
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|21|C1+E|6
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|21|C1|11
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|21|C|11
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|21|AM|41
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|22|C|16
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|22|B+E|9
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|22|B|28
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|22|AM|28
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|22|T|9
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|22|C1+E|10
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|22|A|2
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|22|A1|3
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|22|C+E|10
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|22|A2|3
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|22|C1|16
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|22|B1|28
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|23|B1|21
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|23|T|8
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|23|D|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|23|B|21
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|23|D1|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|23|C1+E|9
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|23|A|2
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|23|B+E|9
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|23|AM|21
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|23|A2|4
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|23|C|13
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|23|C1|13
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|23|A1|3
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|23|C+E|9
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|24|C+E|7
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|24|T|8
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|24|A|17
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|24|D|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|24|AM|21
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|24|D1|1
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|24|B|21
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|24|A1|17
2020-07|02|WOJ. DOLNOŒL¥SKIE|M|24|A2|17
